frame_number,prep_ms,inference_ms,post_ms,tracking_ms,opflow_ms
1,29.9168,59.1491,33.0491,0.7949,1.7553
2,0.0000,0.0000,0.0000,0.0060,4.8551
3,0.0000,0.0000,0.0000,0.0055,3.9576
4,3.8829,46.0262,5.6149,0.7705,3.9588
5,0.0000,0.0000,0.0000,0.0060,4.3226
6,0.0000,0.0000,0.0000,0.0064,4.4738
7,3.8928,46.1364,5.1532,0.8086,4.5831
8,0.0000,0.0000,0.0000,0.0073,6.1295
9,0.0000,0.0000,0.0000,0.0064,4.8679
10,3.9046,46.0741,5.3934,0.8071,6.1453
11,0.0000,0.0000,0.0000,0.0066,6.8657
12,0.0000,0.0000,0.0000,0.0066,6.4640
13,3.8955,46.1957,5.5435,0.8164,5.9843
14,0.0000,0.0000,0.0000,0.0062,7.0688
15,0.0000,0.0000,0.0000,0.0070,6.1046
16,3.9150,46.3210,4.5135,0.8170,6.0410
17,0.0000,0.0000,0.0000,0.0065,7.4993
18,0.0000,0.0000,0.0000,0.0061,6.3907
19,3.9507,46.4434,4.4604,0.8620,6.1014
20,0.0000,0.0000,0.0000,0.0063,5.5817
21,0.0000,0.0000,0.0000,0.0065,6.5332
22,4.1091,46.1278,4.4669,0.8866,6.0406
23,0.0000,0.0000,0.0000,0.0071,5.6860
24,0.0000,0.0000,0.0000,0.0070,6.3226
25,3.8837,46.0997,4.2950,0.8440,6.4214
26,0.0000,0.0000,0.0000,0.0076,5.6779
27,0.0000,0.0000,0.0000,0.0061,6.3616
28,3.8063,46.1318,4.3444,0.8145,6.1630
29,0.0000,0.0000,0.0000,0.0065,7.3560
30,0.0000,0.0000,0.0000,0.0068,6.2450
31,3.8967,46.5582,4.6251,0.8707,5.7508
32,0.0000,0.0000,0.0000,0.0073,6.2343
33,0.0000,0.0000,0.0000,0.0063,5.8169
34,3.7198,46.2898,4.3239,0.8823,7.5118
35,0.0000,0.0000,0.0000,0.0066,6.3024
36,0.0000,0.0000,0.0000,0.0066,6.2279
37,4.0015,46.5534,4.5636,0.9257,6.6489
38,0.0000,0.0000,0.0000,0.0062,6.2552
39,0.0000,0.0000,0.0000,0.0060,5.0931
40,3.9727,46.5891,4.0305,0.8773,5.9926
41,0.0000,0.0000,0.0000,0.0056,6.7234
42,0.0000,0.0000,0.0000,0.0057,4.8837
43,3.8496,46.6557,4.0015,0.9130,5.0722
44,0.0000,0.0000,0.0000,0.0063,6.8393
45,0.0000,0.0000,0.0000,0.0065,5.0146
46,4.0121,46.6672,4.1837,0.7338,5.4485
47,0.0000,0.0000,0.0000,0.0050,5.0032
48,0.0000,0.0000,0.0000,0.0077,3.6851
49,4.1241,46.7357,3.9622,0.6679,3.5391
50,0.0000,0.0000,0.0000,0.0049,4.9046
51,0.0000,0.0000,0.0000,0.0048,3.7932
52,3.8978,46.8501,4.1352,0.6986,3.7619
53,0.0000,0.0000,0.0000,0.0052,5.0203
54,0.0000,0.0000,0.0000,0.0048,3.5548
55,3.9811,46.7439,4.1346,0.6693,3.7840
56,0.0000,0.0000,0.0000,0.0050,4.8499
57,0.0000,0.0000,0.0000,0.0054,3.7461
58,4.1376,47.0708,4.0255,0.5091,3.8093
59,0.0000,0.0000,0.0000,0.0048,3.5821
60,0.0000,0.0000,0.0000,0.0050,3.8252
61,4.0008,46.8942,4.1224,0.5261,3.8041
62,0.0000,0.0000,0.0000,0.0048,3.7035
63,0.0000,0.0000,0.0000,0.0043,3.5153
64,4.1768,48.5527,3.9132,0.5455,3.4512
65,0.0000,0.0000,0.0000,0.0055,3.4986
66,0.0000,0.0000,0.0000,0.0055,3.7051
67,3.8680,46.7122,3.9768,0.4998,3.9625
68,0.0000,0.0000,0.0000,0.0046,3.6926
69,0.0000,0.0000,0.0000,0.0050,3.3983
70,4.0908,46.9189,3.8304,0.4914,3.8374
71,0.0000,0.0000,0.0000,0.0049,3.8311
72,0.0000,0.0000,0.0000,0.0050,3.8773
73,3.9329,47.0837,3.9460,0.4880,4.0284
74,0.0000,0.0000,0.0000,0.0050,3.4830
75,0.0000,0.0000,0.0000,0.0052,3.6749
76,6.9352,47.1737,3.9201,0.6225,3.5017
77,0.0000,0.0000,0.0000,0.0054,3.7050
78,0.0000,0.0000,0.0000,0.0046,3.3982
79,4.2006,46.9777,4.1289,0.5170,3.9930
80,0.0000,0.0000,0.0000,0.0052,3.9495
81,0.0000,0.0000,0.0000,0.0052,3.7611
82,4.0644,46.8606,4.2670,0.6009,3.7252
83,0.0000,0.0000,0.0000,0.0056,4.8694
84,0.0000,0.0000,0.0000,0.0064,5.3475
85,4.7643,47.3200,3.8908,0.6109,4.7800
86,0.0000,0.0000,0.0000,0.0061,4.7851
87,0.0000,0.0000,0.0000,0.0061,4.9498
88,4.1730,47.0169,4.1041,0.5901,4.8389
89,0.0000,0.0000,0.0000,0.0065,4.7347
90,0.0000,0.0000,0.0000,0.0059,4.9183
91,4.1124,47.0079,4.1689,0.5909,4.7571
92,0.0000,0.0000,0.0000,0.0062,4.8632
93,0.0000,0.0000,0.0000,0.0063,5.7066
94,3.9231,46.6327,4.0055,0.5733,4.9174
95,0.0000,0.0000,0.0000,0.0068,4.9503
96,0.0000,0.0000,0.0000,0.0057,5.1495
97,4.0404,46.7662,4.1463,0.5933,5.3108
98,0.0000,0.0000,0.0000,0.0057,4.8910
99,0.0000,0.0000,0.0000,0.0067,4.6121
100,4.0098,46.7609,4.0712,0.6147,4.9636
101,0.0000,0.0000,0.0000,0.0068,4.8544
102,0.0000,0.0000,0.0000,0.0067,4.5175
103,3.8417,46.1819,4.3376,0.6160,4.5777
104,0.0000,0.0000,0.0000,0.0061,5.5091
105,0.0000,0.0000,0.0000,0.0057,5.0712
106,3.7927,46.1732,4.0424,0.5940,5.0424
107,0.0000,0.0000,0.0000,0.0079,5.1875
108,0.0000,0.0000,0.0000,0.0063,4.7724
109,3.8662,46.2928,4.1298,0.6418,4.6782
110,0.0000,0.0000,0.0000,0.0064,5.0584
111,0.0000,0.0000,0.0000,0.0068,4.7463
112,3.9012,46.8121,4.2141,0.6016,5.6818
113,0.0000,0.0000,0.0000,0.0061,4.9668
114,0.0000,0.0000,0.0000,0.0056,4.6291
115,7.9038,47.3503,3.8961,0.6179,5.1071
116,0.0000,0.0000,0.0000,0.0063,4.6090
117,0.0000,0.0000,0.0000,0.0061,5.0922
118,3.9994,46.5332,4.0654,0.6224,4.9045
119,0.0000,0.0000,0.0000,0.0057,4.8780
120,0.0000,0.0000,0.0000,0.0058,4.8299
121,3.9321,46.3355,4.1658,0.6778,4.4125
122,0.0000,0.0000,0.0000,0.0060,4.8943
123,0.0000,0.0000,0.0000,0.0064,5.1920
124,4.0076,46.1105,4.1762,0.6337,5.2189
125,0.0000,0.0000,0.0000,0.0063,4.9594
126,0.0000,0.0000,0.0000,0.0061,5.6398
127,3.7651,46.4942,4.0846,0.6131,6.0929
128,0.0000,0.0000,0.0000,0.0058,5.3947
129,0.0000,0.0000,0.0000,0.0061,4.8361
130,3.9196,46.1686,3.9547,0.6377,5.3249
131,0.0000,0.0000,0.0000,0.0061,5.8969
132,0.0000,0.0000,0.0000,0.0061,5.0238
133,3.8831,46.7223,4.1046,0.6444,5.0072
134,0.0000,0.0000,0.0000,0.0066,5.0126
135,0.0000,0.0000,0.0000,0.0063,5.2486
136,3.9793,46.6594,3.7827,0.6012,5.0871
137,0.0000,0.0000,0.0000,0.0067,4.9799
138,0.0000,0.0000,0.0000,0.0069,4.9081
139,3.7400,46.7584,4.1463,0.6454,5.2404
140,0.0000,0.0000,0.0000,0.0062,4.8683
141,0.0000,0.0000,0.0000,0.0065,4.9389
142,4.2576,46.5995,4.2054,0.6436,4.8429
143,0.0000,0.0000,0.0000,0.0063,4.7337
144,0.0000,0.0000,0.0000,0.0059,5.9032
145,3.7428,46.3770,4.0016,0.6908,4.9212
146,0.0000,0.0000,0.0000,0.0066,4.9054
147,0.0000,0.0000,0.0000,0.0071,4.5637
148,8.7563,47.2648,4.1738,0.6778,5.0732
149,0.0000,0.0000,0.0000,0.0063,5.0221
150,0.0000,0.0000,0.0000,0.0061,5.0378
151,3.9685,46.7791,4.1429,0.6975,5.5528
152,0.0000,0.0000,0.0000,0.0069,4.7318
153,0.0000,0.0000,0.0000,0.0066,5.6547
154,3.9705,46.7464,4.2355,0.6997,5.3031
155,0.0000,0.0000,0.0000,0.0057,5.1889
156,0.0000,0.0000,0.0000,0.0060,4.9372
157,4.7614,47.9954,3.8032,0.6637,5.0431
158,0.0000,0.0000,0.0000,0.0069,5.0692
159,0.0000,0.0000,0.0000,0.0061,5.2723
160,3.9741,46.7268,4.0609,0.7290,4.9922
161,0.0000,0.0000,0.0000,0.0063,4.8208
162,0.0000,0.0000,0.0000,0.0066,4.8450
163,3.9034,46.2897,4.0826,0.6642,5.0349
164,0.0000,0.0000,0.0000,0.0068,4.6238
165,0.0000,0.0000,0.0000,0.0077,5.7430
166,4.0015,46.3912,3.9344,0.6616,4.8877
167,0.0000,0.0000,0.0000,0.0066,5.1460
168,0.0000,0.0000,0.0000,0.0070,5.9258
169,3.8891,46.4283,4.1357,0.6640,5.4727
170,0.0000,0.0000,0.0000,0.0072,5.3765
171,0.0000,0.0000,0.0000,0.0065,5.5220
172,4.0435,47.5294,4.1162,0.7239,5.1633
173,0.0000,0.0000,0.0000,0.0067,4.9364
174,0.0000,0.0000,0.0000,0.0069,5.0351
175,4.0124,47.1082,3.9778,0.7934,5.0185
176,0.0000,0.0000,0.0000,0.0072,7.0352
177,0.0000,0.0000,0.0000,0.0076,5.9717
178,4.0186,46.5772,4.0464,0.7635,6.0392
179,0.0000,0.0000,0.0000,0.0078,5.7040
180,0.0000,0.0000,0.0000,0.0070,6.2929
181,4.1418,47.3751,3.8638,0.7699,6.2410
182,0.0000,0.0000,0.0000,0.0066,6.1619
183,0.0000,0.0000,0.0000,0.0063,6.5695
184,3.8674,45.9996,3.8606,0.7615,5.2327
185,0.0000,0.0000,0.0000,0.0069,5.4554
186,0.0000,0.0000,0.0000,0.0066,5.6835
187,3.9716,46.3908,3.8869,0.7906,6.3132
188,0.0000,0.0000,0.0000,0.0070,5.8670
189,0.0000,0.0000,0.0000,0.0074,5.8335
190,3.9233,46.2551,3.8618,0.7979,6.1352
191,0.0000,0.0000,0.0000,0.0063,6.2972
192,0.0000,0.0000,0.0000,0.0072,6.5095
193,3.9865,46.3547,3.8867,0.8105,6.2509
194,0.0000,0.0000,0.0000,0.0070,6.0143
195,0.0000,0.0000,0.0000,0.0075,5.8086
196,4.0839,46.5942,3.9268,0.8647,7.7073
197,0.0000,0.0000,0.0000,0.0070,5.8933
198,0.0000,0.0000,0.0000,0.0071,6.4891
199,4.1762,46.4547,4.1593,0.8856,6.4145
200,0.0000,0.0000,0.0000,0.0067,9.0115
201,0.0000,0.0000,0.0000,0.0073,6.8641
202,4.3986,47.5057,4.3332,0.9255,6.9579
203,0.0000,0.0000,0.0000,0.0090,7.6530
204,0.0000,0.0000,0.0000,0.0108,6.9883
205,4.5315,47.1434,3.9565,0.9734,7.6871
206,0.0000,0.0000,0.0000,0.0083,7.3739
207,0.0000,0.0000,0.0000,0.0090,7.6163
208,3.9278,46.5946,3.9930,0.9097,7.3993
209,0.0000,0.0000,0.0000,0.0085,7.9078
210,0.0000,0.0000,0.0000,0.0092,8.6703
211,3.8540,46.9174,4.1296,0.9941,8.7411
212,0.0000,0.0000,0.0000,0.0086,7.8092
213,0.0000,0.0000,0.0000,0.0090,7.4778
214,4.4292,46.7915,3.9432,0.8597,7.7808
215,0.0000,0.0000,0.0000,0.0070,7.3332
216,0.0000,0.0000,0.0000,0.0066,6.2982
217,4.0107,46.6036,4.0879,0.8548,6.4946
218,0.0000,0.0000,0.0000,0.0063,5.9613
219,0.0000,0.0000,0.0000,0.0072,6.3131
220,3.9751,46.5986,4.0507,0.9036,6.2359
221,0.0000,0.0000,0.0000,0.0064,5.9045
222,0.0000,0.0000,0.0000,0.0062,6.6748
223,3.9186,46.7910,3.9417,0.8510,6.2208
224,0.0000,0.0000,0.0000,0.0068,6.8993
225,0.0000,0.0000,0.0000,0.0068,6.4255
226,4.1840,47.2475,3.9989,0.9401,5.8083
227,0.0000,0.0000,0.0000,0.0087,7.6809
228,0.0000,0.0000,0.0000,0.0092,6.8180
229,3.8732,46.3305,3.9736,0.9920,7.4328
230,0.0000,0.0000,0.0000,0.0090,7.9573
231,0.0000,0.0000,0.0000,0.0093,7.4663
232,3.9917,46.5838,4.2707,1.0087,6.7842
233,0.0000,0.0000,0.0000,0.0098,7.2639
234,0.0000,0.0000,0.0000,0.0094,7.4049
