Preprocessing,Inference,Postprocessing,Tracking,OpFlow
0.0000,0.0000,0.0000,0.0000,11.9650
0.0000,0.0000,0.0000,0.0000,11.3868
4.1235,46.5074,5.5846,13.5153,0.0000
0.0000,0.0000,0.0000,0.0000,12.9880
0.0000,0.0000,0.0000,0.0000,11.9226
4.1508,46.4052,5.2093,14.0770,0.0000
0.0000,0.0000,0.0000,0.0000,15.7717
0.0000,0.0000,0.0000,0.0000,14.8401
4.1536,46.4519,5.4378,17.4413,0.0000
0.0000,0.0000,0.0000,0.0000,14.9801
0.0000,0.0000,0.0000,0.0000,14.4365
4.0110,46.5096,5.4580,15.6276,0.0000
0.0000,0.0000,0.0000,0.0000,13.7926
0.0000,0.0000,0.0000,0.0000,13.2711
4.1490,46.5208,4.5717,18.3829,0.0000
0.0000,0.0000,0.0000,0.0000,13.6086
0.0000,0.0000,0.0000,0.0000,13.6543
3.8188,47.5357,4.5450,15.7607,0.0000
0.0000,0.0000,0.0000,0.0000,10.3586
0.0000,0.0000,0.0000,0.0000,10.1182
4.1110,46.6052,4.5053,11.4421,0.0000
0.0000,0.0000,0.0000,0.0000,16.6814
0.0000,0.0000,0.0000,0.0000,16.6755
4.3335,46.9600,4.1737,17.2443,0.0000
0.0000,0.0000,0.0000,0.0000,16.7976
0.0000,0.0000,0.0000,0.0000,15.2152
4.1157,46.5490,4.4091,16.2179,0.0000
0.0000,0.0000,0.0000,0.0000,12.6957
0.0000,0.0000,0.0000,0.0000,11.1738
5.0950,46.4515,4.6808,12.2593,0.0000
0.0000,0.0000,0.0000,0.0000,9.8348
0.0000,0.0000,0.0000,0.0000,10.7695
4.1337,46.4632,4.3700,10.6670,0.0000
0.0000,0.0000,0.0000,0.0000,12.0336
0.0000,0.0000,0.0000,0.0000,11.7380
4.1563,46.6217,4.2004,12.4613,0.0000
0.0000,0.0000,0.0000,0.0000,14.4027
0.0000,0.0000,0.0000,0.0000,15.1729
4.1797,47.0566,4.1364,14.6921,0.0000
0.0000,0.0000,0.0000,0.0000,12.5004
0.0000,0.0000,0.0000,0.0000,11.2268
4.1869,46.3940,3.8683,12.5728,0.0000
0.0000,0.0000,0.0000,0.0000,9.3697
0.0000,0.0000,0.0000,0.0000,8.9503
4.1402,46.5158,4.1082,11.3059,0.0000
0.0000,0.0000,0.0000,0.0000,8.7818
0.0000,0.0000,0.0000,0.0000,9.0401
5.2852,46.8085,4.1016,8.8102,0.0000
0.0000,0.0000,0.0000,0.0000,10.3895
0.0000,0.0000,0.0000,0.0000,10.4283
4.1434,46.5281,4.1617,10.6808,0.0000
0.0000,0.0000,0.0000,0.0000,11.1775
0.0000,0.0000,0.0000,0.0000,10.2867
4.1404,46.5413,4.1200,11.0367,0.0000
0.0000,0.0000,0.0000,0.0000,10.4242
0.0000,0.0000,0.0000,0.0000,10.9602
5.2321,46.3445,4.1150,10.4786,0.0000
0.0000,0.0000,0.0000,0.0000,6.8288
0.0000,0.0000,0.0000,0.0000,6.6135
4.3081,47.0838,3.9469,7.3488,0.0000
0.0000,0.0000,0.0000,0.0000,7.8815
0.0000,0.0000,0.0000,0.0000,8.5883
4.2679,46.9883,4.1860,8.8818,0.0000
0.0000,0.0000,0.0000,0.0000,10.3584
0.0000,0.0000,0.0000,0.0000,10.3778
4.7666,46.5902,4.1846,10.9738,0.0000
0.0000,0.0000,0.0000,0.0000,8.1596
0.0000,0.0000,0.0000,0.0000,8.0301
4.2343,46.7268,4.1557,10.2598,0.0000
0.0000,0.0000,0.0000,0.0000,7.0890
0.0000,0.0000,0.0000,0.0000,8.4562
