Preprocessing,Inference,Postprocessing,Tracking,OpFlow
4.1768,109.0476,6.1456,0.9763,0.0000
4.1342,109.2169,6.4536,0.9433,0.0000
4.1707,109.2495,6.4672,0.9395,0.0000
4.1713,109.0683,4.7221,0.9511,0.0000
4.1267,109.3180,4.7044,0.9370,0.0000
4.9782,109.3227,4.5747,1.0369,0.0000
4.1263,109.1357,4.6393,1.0197,0.0000
4.1645,109.0077,4.5514,0.9647,0.0000
4.1558,109.2314,4.6312,0.9553,0.0000
4.2498,109.2134,4.7073,1.0306,0.0000
4.1527,109.0069,4.4088,1.2301,0.0000
4.7803,109.2726,4.3336,1.0050,0.0000
4.1711,109.1737,4.2697,0.9400,0.0000
4.1568,108.9380,4.3226,1.0520,0.0000
4.1533,109.1875,4.2859,1.0560,0.0000
4.1459,109.1512,4.3083,1.0369,0.0000
4.4176,109.3306,4.0279,0.9467,0.0000
4.2167,109.0024,4.3376,0.9735,0.0000
4.1707,109.0922,4.4165,1.0551,0.0000
4.1952,109.1144,4.3245,1.0245,0.0000
4.2453,109.3510,4.0446,0.9984,0.0000
4.1314,109.0142,4.2850,0.9293,0.0000
4.1833,109.0620,4.4434,0.9480,0.0000
4.1915,109.1308,4.3224,0.9394,0.0000
4.2704,109.3952,4.0629,0.9971,0.0000
4.2256,109.1745,4.2928,0.9944,0.0000
4.1559,109.1039,4.4600,0.9053,0.0000
4.1288,109.0596,4.3321,0.9941,0.0000
4.3360,109.0643,4.0371,0.9738,0.0000
4.1319,108.9873,4.2095,1.0376,0.0000
4.1827,108.9591,4.4687,0.9934,0.0000
4.1675,109.1401,4.1241,1.0535,0.0000
4.2784,109.2574,3.8481,0.9502,0.0000
4.1780,109.1357,4.1406,0.9594,0.0000
4.2094,109.1459,4.2824,0.9758,0.0000
4.2001,109.1850,4.1789,0.9677,0.0000
4.2225,109.2301,3.9290,0.9784,0.0000
4.1767,109.1377,4.1337,1.0543,0.0000
4.1721,109.1616,4.2325,0.9199,0.0000
4.8206,109.1961,4.1053,0.9426,0.0000
4.2970,109.0444,3.9031,1.0409,0.0000
4.1974,109.0770,4.1402,1.0494,0.0000
4.2214,108.9161,4.3053,0.9823,0.0000
4.5405,109.0548,4.1574,1.0754,0.0000
4.3396,108.9321,3.9811,1.0883,0.0000
4.2019,109.1881,4.1342,1.0945,0.0000
4.1768,108.9063,4.2244,0.9918,0.0000
4.9978,109.1974,4.1353,0.9598,0.0000
4.3118,108.9377,3.8632,1.1392,0.0000
4.1724,109.1751,4.1134,0.9864,0.0000
4.2036,108.9932,4.2424,1.0198,0.0000
4.9057,109.0174,4.1581,1.1566,0.0000
4.3350,108.8292,3.9295,1.0472,0.0000
4.1824,108.9779,4.1155,1.1431,0.0000
4.1877,109.2872,4.3167,1.1749,0.0000
4.4815,109.2613,4.1608,1.0112,0.0000
4.3186,108.9590,3.8576,0.9980,0.0000
4.1673,109.1730,4.1041,1.0686,0.0000
4.1749,109.2332,4.5282,1.3055,0.0000
4.3923,108.8852,4.1670,1.0035,0.0000
4.2946,108.6930,3.8804,1.0174,0.0000
4.1889,108.8880,4.1027,1.0688,0.0000
4.1501,109.1012,4.2932,0.9840,0.0000
4.7529,109.0952,4.1280,1.0447,0.0000
4.3139,108.8267,3.8922,1.0520,0.0000
4.1961,109.0864,4.1938,1.0073,0.0000
4.1798,109.0292,4.2319,1.0194,0.0000
4.4626,109.0474,4.1174,0.9964,0.0000
4.3105,108.8805,3.8446,1.0100,0.0000
4.1838,109.0280,4.1254,1.0397,0.0000
4.1921,109.2369,4.2264,0.9368,0.0000
4.4023,109.0907,4.1327,1.0200,0.0000
4.2868,109.0782,3.8975,0.9956,0.0000
4.2017,109.0987,4.1031,0.9648,0.0000
4.2262,109.0601,4.2046,0.9266,0.0000
4.4467,109.1282,4.1386,0.9403,0.0000
4.3024,109.0742,3.8768,0.9659,0.0000
4.1726,109.0440,4.1195,1.0448,0.0000
4.1850,109.0615,4.2663,1.0216,0.0000
4.5127,108.9770,4.1322,0.9930,0.0000
4.3475,108.8763,3.9328,0.9512,0.0000
4.1694,109.1863,4.0978,0.9596,0.0000
4.2299,109.3415,4.2920,1.0300,0.0000
4.1657,109.2214,4.1361,0.9950,0.0000
4.2816,109.5044,3.8533,0.9816,0.0000
4.2025,109.0868,4.0877,1.0038,0.0000
4.1369,109.1827,4.7880,1.3815,0.0000
4.1860,109.2018,4.1093,1.0089,0.0000
4.3243,109.1447,3.8812,0.9715,0.0000
4.2716,109.0945,4.0960,1.0388,0.0000
4.1984,109.1401,4.2618,0.9489,0.0000
4.1274,109.0782,4.0887,0.9249,0.0000
4.3274,109.1946,3.8537,0.9156,0.0000
4.1579,109.4039,4.0741,0.9586,0.0000
4.1657,109.1549,4.3059,1.0002,0.0000
4.4673,109.1372,4.1995,1.0228,0.0000
4.3708,108.9383,3.9242,1.0940,0.0000
4.1996,109.1223,4.1449,1.0032,0.0000
4.1947,109.1421,4.2869,1.0181,0.0000
4.2685,109.2256,4.1752,1.0070,0.0000
4.3023,109.2520,3.8787,0.9846,0.0000
4.1589,109.0543,4.1799,1.0061,0.0000
4.2212,108.9855,4.3099,0.9805,0.0000
4.1914,109.2512,4.1856,1.0224,0.0000
4.2925,109.2390,3.9187,1.0289,0.0000
4.1626,109.0061,4.1878,1.0077,0.0000
