frame_number,prep_ms,inference_ms,post_ms,tracking_ms,opflow_ms
1,54.9407,81.3731,20.6548,0.0821,0.0000
2,4.0913,69.2856,1.4879,0.1177,0.0000
3,3.8841,69.3007,1.4698,0.1027,0.0000
4,3.8981,69.6195,1.6125,0.1067,0.0000
5,3.8745,69.3115,1.5427,0.1089,0.0000
6,3.8562,69.3722,1.5985,0.1145,0.0000
7,3.8531,69.3121,1.6477,0.1084,0.0000
8,3.8624,69.3310,1.4351,0.1103,0.0000
9,3.8741,69.3488,0.8108,0.1034,0.0000
10,3.8655,69.2619,0.9255,0.1028,0.0000
11,4.7502,69.8870,0.9061,0.1204,0.0000
12,4.0120,69.4322,0.7684,0.1164,0.0000
13,3.8765,69.2926,0.8825,0.1226,0.0000
14,3.8346,69.3995,0.8702,0.1101,0.0000
15,3.8664,69.3623,0.8573,0.1257,0.0000
16,3.8480,69.3694,0.8770,0.1189,0.0000
17,3.9869,70.2145,0.6224,0.1155,0.0000
18,4.2204,69.3449,0.6198,0.1246,0.0000
19,3.9273,69.2616,0.5905,0.1324,0.0000
20,3.8862,69.2548,0.6127,0.1301,0.0000
21,3.8949,69.2732,0.6068,0.1490,0.0000
22,3.8831,69.3028,0.6058,0.1307,0.0000
23,3.8900,69.3964,0.6287,0.1305,0.0000
24,4.5215,69.5361,0.6052,0.1203,0.0000
25,4.2597,69.4613,0.6628,0.1274,0.0000
26,3.9063,69.3369,0.6213,0.1305,0.0000
27,3.8713,69.4626,0.5820,0.1345,0.0000
28,3.8990,69.3271,0.5920,0.1250,0.0000
29,4.2003,69.5906,0.5650,0.1195,0.0000
30,3.9944,69.1103,0.5673,0.1179,0.0000
31,3.8625,69.1262,0.5600,0.1204,0.0000
32,3.8895,69.3883,0.5955,0.1450,0.0000
33,3.9257,69.9151,0.6198,0.1455,0.0000
34,4.1718,69.5326,0.5633,0.1282,0.0000
35,3.9297,69.3186,0.5491,0.1282,0.0000
36,3.9084,69.3730,0.5289,0.1474,0.0000
37,3.8982,69.2144,0.5469,0.1243,0.0000
38,4.2105,69.7179,0.5290,0.1167,0.0000
39,3.8933,69.4572,0.5258,0.1768,0.0000
40,3.8558,69.3943,0.5283,0.1174,0.0000
41,3.8710,69.4626,0.5833,0.1217,0.0000
42,3.8972,69.4874,0.5758,0.1238,0.0000
43,4.1875,69.5022,0.5432,0.1490,0.0000
44,3.8639,69.3715,0.5429,0.1349,0.0000
45,3.8657,69.4077,0.5832,0.1340,0.0000
46,3.9134,69.3081,0.6029,0.1301,0.0000
47,4.2904,69.5940,0.6226,0.1444,0.0000
48,3.8916,70.3853,0.6124,0.1375,0.0000
49,3.8838,69.4601,0.6090,0.1309,0.0000
50,4.0726,69.9925,0.6631,0.1323,0.0000
51,4.2531,69.4795,0.5420,0.1413,0.0000
52,3.9004,69.3850,0.4968,0.1344,0.0000
53,3.9973,69.5494,0.5542,0.1360,0.0000
54,4.1930,69.5378,0.5805,0.1484,0.0000
55,3.8612,69.3744,0.5143,0.1388,0.0000
56,3.9354,69.7555,0.5199,0.1794,0.0000
57,4.2097,69.7146,0.5130,0.1362,0.0000
58,3.8974,69.2902,0.5097,0.1279,0.0000
59,3.9506,69.4321,0.4974,0.1130,0.0000
60,3.8839,69.4226,0.5294,0.1335,0.0000
61,5.0257,69.4941,0.5280,0.1305,0.0000
62,3.9057,69.3556,0.5327,0.1131,0.0000
63,3.8851,69.5547,0.5087,0.1211,0.0000
64,4.0055,69.8226,0.5181,0.1251,0.0000
65,4.2220,69.3714,0.5218,0.1623,0.0000
66,3.9128,69.3113,0.5422,0.1429,0.0000
