preprocessing_time,inference_time,postprocessing_time,tracking_time,network_time
11.3356,43.2041,0.5417,4.1118,41.8069
7.6313,36.4981,0.5474,3.4704,39.8528
7.5557,35.7678,0.5536,3.2449,35.8780
6.3126,39.5563,0.4606,2.6636,35.0069
5.6200,30.1881,0.4582,2.5611,31.1726
5.7919,30.1721,0.4559,2.5289,35.0512
5.7819,30.2410,0.4857,2.5277,31.9637
5.8587,30.2753,0.4630,2.5251,32.8779
5.7437,30.2207,0.4570,2.5628,33.0157
5.7940,30.1676,0.4582,2.7409,31.8393
5.7154,29.3953,0.4532,2.8563,33.5798
5.7223,31.7192,0.4704,3.2406,34.8475
6.6721,30.6647,0.4606,2.7995,29.4030
6.1994,29.6347,0.4373,2.9204,24.8083
5.6617,31.7352,0.4528,3.2501,25.9002
5.7673,30.7844,0.4556,3.3658,35.6269
6.0997,30.0877,0.4556,2.9225,27.4344
5.7385,32.4080,0.5951,3.5498,30.7086
5.5597,29.4981,0.4373,2.8818,28.6232
5.6086,30.1499,0.4563,2.9037,33.8815
5.6138,30.0460,0.4554,2.8934,31.9914
5.7170,31.3146,0.4938,2.9728,30.5017
5.6591,31.6491,0.4561,2.9716,29.2640
5.7230,31.0242,0.4551,2.9621,34.8355
5.6102,30.0713,0.4551,2.8274,31.0360
5.6636,30.6399,0.4568,2.7945,25.4452
5.6720,30.1785,0.4547,2.8136,32.8812
5.5895,30.0479,0.4544,2.8036,27.1046
5.5866,29.3427,0.4549,2.6979,32.9179
5.6779,30.2474,0.4559,2.8570,33.7618
5.6868,30.1480,0.4556,2.7881,25.9215
5.8119,29.3367,0.4570,2.7313,29.6630
5.6787,28.4984,0.4559,2.5170,28.8501
5.6732,29.7928,0.4823,2.6910,30.3607
6.6292,29.2168,0.4525,2.6336,33.0679
6.3195,28.4288,0.4692,2.5921,33.1904
5.6171,28.4953,0.4537,2.5275,27.9064
5.5940,29.7146,0.4857,2.8148,32.3910
6.0577,29.6776,0.4559,2.5167,39.2920
5.7032,28.4460,0.4556,2.5008,32.8944
5.6820,28.5008,0.4690,2.5887,28.7595
5.6362,28.5535,0.4563,3.1455,30.2085
5.5728,28.7449,0.4663,2.7914,31.4245
5.5852,30.0887,0.4566,2.8400,29.0295
5.6002,30.0713,0.4539,2.9373,28.9373
5.6248,29.3500,0.4568,2.9156,30.6528
5.6369,30.1712,0.4566,2.9998,31.7356
5.6386,32.6483,0.4787,3.0968,54.1375
5.6512,30.5824,0.4563,3.1543,29.1557
5.5547,30.4394,0.4399,3.1159,31.4502
5.6000,30.8068,0.4549,3.1388,27.9996
5.6350,30.1449,0.4561,2.9485,31.8154
5.5804,30.4105,0.4728,2.9004,29.6359
5.6999,30.9060,0.4539,3.1340,30.8062
5.5847,30.9088,0.4568,3.3541,31.6956
5.7037,30.0808,0.4573,3.2923,31.4659
5.6508,30.8049,0.4666,3.0494,30.0284
5.6226,30.2713,0.4563,3.0947,30.5551
5.6617,30.9491,0.4556,3.1011,28.8324
5.6055,30.8497,0.4544,2.9492,31.1412
