preprocessing_time,inference_time,postprocessing_time,tracking_time,network_time
11.5697,45.7256,0.5486,4.2074,49.9487
7.5607,37.5056,0.5341,3.5386,36.8610
7.4465,35.9473,0.5331,3.2349,34.8382
7.4849,36.3128,0.5333,3.3140,39.3549
7.5397,36.1328,0.5474,3.2251,42.5549
7.5183,36.6435,0.5469,3.2523,36.0390
7.5819,36.4020,0.5677,3.2229,36.2254
7.5274,36.8986,0.5665,3.2334,34.7741
7.4630,35.7237,0.5400,3.1884,32.0849
7.4687,34.1787,0.4265,2.6426,31.2834
5.5687,30.3366,0.4411,2.9056,40.7480
5.6124,31.0788,0.4375,2.9597,29.9116
5.6460,31.0681,0.4430,3.1600,33.6829
5.6818,31.5478,0.4561,2.9645,31.3499
11.0486,33.7920,0.4816,3.1936,30.4842
6.5453,31.3587,0.4613,3.0403,31.5943
5.5816,31.8868,0.5455,3.2928,30.6933
5.6496,30.6537,0.4401,2.9845,30.2721
5.6963,31.4648,0.4561,3.3240,30.0588
5.7054,31.5709,0.4587,3.1042,35.1608
5.7032,32.8355,0.4814,3.0394,29.9406
5.6009,30.2896,0.4382,2.8157,29.8555
5.6450,29.6404,0.4377,2.8327,30.4441
5.7726,30.2410,0.4573,2.8989,32.6302
5.7416,30.9076,0.4587,2.9154,33.9767
5.6977,29.6755,0.4551,2.9483,34.2234
5.6393,30.5650,0.4587,2.7950,28.5420
5.6407,30.8962,0.4559,2.7826,32.2246
5.6293,30.2680,0.4597,2.6765,33.9666
5.7399,29.9065,0.4673,2.6777,29.2086
5.7182,30.0105,0.4568,2.6784,30.1361
6.3024,29.0747,0.5388,3.2058,30.8784
5.5792,30.6430,0.4561,2.6991,29.6225
6.1550,30.1630,0.4570,2.7962,27.4287
5.6901,31.0178,0.4587,2.7881,30.0453
5.7271,32.7709,0.4752,3.1490,26.8779
7.1564,28.8494,0.4411,2.6689,28.8843
6.3341,28.6140,0.4411,2.5442,31.0667
5.6736,30.4682,0.5372,2.9433,30.3777
5.6303,29.6547,0.4530,2.6977,28.5643
5.6822,29.6264,0.4575,2.7020,33.5319
5.7185,29.9721,0.4585,2.7034,29.1475
5.7271,31.2016,0.4892,2.7711,28.8110
5.7123,32.5747,0.4683,2.7988,31.4460
5.6698,32.2237,0.4582,2.8286,28.8196
5.5399,30.3159,0.4416,2.7452,30.9575
5.6765,30.4294,0.4570,3.1002,32.3369
5.6756,32.2368,0.4647,3.2148,30.4081
5.7218,31.1346,0.4399,3.2251,33.4786
5.5265,31.8403,0.4487,3.6626,27.5218
5.7707,30.6439,0.4411,3.3152,25.8291
5.7261,30.1380,0.4265,3.1514,24.5579
5.6129,29.9385,0.4265,3.1528,30.8693
5.5039,29.1233,0.4528,3.0475,28.8726
5.5168,29.9013,0.4249,3.1750,29.9821
5.5845,30.2422,0.4320,3.3162,31.4251
5.5795,30.0534,0.4270,3.4394,28.5007
5.4796,30.0734,0.4289,3.5853,30.4328
5.5933,31.0972,0.4456,3.4838,30.3801
5.6169,34.7281,0.4742,3.6647,27.5161
7.1373,32.2018,0.4432,3.5527,28.6650
6.2969,30.9470,0.4418,3.5079,32.8065
5.4696,29.2332,0.4284,3.1023,27.7665
5.5041,30.4217,0.5081,3.3789,28.1872
5.5199,29.5854,0.4265,3.1471,33.3211
5.4691,29.2625,0.4265,2.9671,28.8747
5.4700,29.2139,0.4344,2.9995,28.8821
5.5208,29.1643,0.4239,2.9449,30.9460
5.6005,30.0722,0.4387,2.9299,30.9587
5.5642,31.5840,0.4616,3.0837,28.3065
5.4936,30.4368,0.4258,3.0222,30.6216
5.5525,29.8886,0.4323,3.1850,26.9416
5.5451,29.8562,0.4277,3.4287,31.7422
5.4629,29.8901,0.4263,3.4528,32.7680
5.6732,56.1068,0.5403,4.4329,33.2469
8.0497,35.5053,0.3998,3.2787,29.7664
5.3680,28.0793,0.4044,3.2997,30.8487
5.4424,29.4743,0.4323,3.2544,37.3967
5.4858,30.9198,0.4220,3.3293,32.8432
5.4908,30.6344,0.4261,3.2835,30.1653
5.6829,30.0355,0.4277,3.2804,32.5734
5.6071,31.4858,0.4370,3.3543,28.1157
5.4560,30.7305,0.4301,3.2630,31.1204
5.4777,30.5908,0.4253,3.4537,26.0525
5.5387,29.9850,0.4261,3.4559,30.5944
5.5907,31.0895,0.4537,3.5233,33.3427
5.5707,29.9757,0.4275,3.3889,31.6373
5.5575,29.1228,0.4258,3.2928,28.6010
5.5413,29.2015,0.4256,3.2315,29.6001
5.5623,29.9520,0.4294,3.3166,31.7396
5.5442,29.1033,0.4282,3.0622,26.8621
5.6000,31.1670,0.4525,3.2315,31.5490
7.1054,29.0334,0.4249,3.0465,30.3899
6.2931,29.9034,0.4241,3.1445,28.2349
5.5645,29.1038,0.4253,3.2699,29.6365
5.5766,29.2921,0.4265,3.1059,29.5989
5.5602,29.6972,0.5057,3.3917,28.8452
5.6067,30.3671,0.4241,3.2082,34.3939
5.6913,30.0283,0.4504,3.1955,32.6345
5.6107,30.6621,0.4382,3.0999,26.1891
5.6789,30.0829,0.4261,3.2175,29.5947
5.6086,30.6678,0.4263,3.1216,32.1758
5.6329,30.8921,0.4387,3.2971,36.7392
5.6503,29.5892,0.4385,4.0433,32.2787
5.7960,29.9547,0.4425,2.7401,33.0667
5.7104,28.1694,0.4408,2.5101,28.1693
5.7266,28.7702,0.4430,2.5733,29.4870
5.6837,28.7905,0.4392,2.5699,33.5168
5.7113,28.0237,0.4392,2.5728,27.2530
5.6951,27.9121,0.4377,2.5878,29.3672
5.7039,27.9810,0.4396,2.4989,34.3765
5.7766,30.0086,0.4561,2.6364,31.1223
5.6462,28.7652,0.4396,2.5997,28.5492
5.6431,28.0135,0.4361,2.6019,28.3055
5.6193,27.6461,0.4399,2.6169,25.6779
5.5833,28.7151,0.4504,2.6081,27.6431
5.6622,27.9241,0.4399,2.5699,27.4039
5.6756,27.9307,0.4377,2.4142,26.5417
5.6129,27.9522,0.4392,2.3537,31.6421
5.7406,29.2428,0.4535,2.5365,33.0266
5.7313,29.1080,0.4568,2.6972,28.0066
5.7676,29.2571,0.4559,2.5086,31.0109
5.8229,29.9513,0.4585,2.5880,31.1793
5.7764,29.9506,0.4570,2.5775,28.2384
5.7988,29.9671,0.4559,2.5885,29.1897
5.7094,30.8661,0.4542,2.5940,31.3763
5.7423,31.0509,0.4551,2.6286,26.1231
5.7745,30.9715,0.4551,2.8443,28.9545
5.7671,30.8311,0.4604,3.0944,32.8470
5.8758,30.8518,0.4549,2.9111,30.9063
5.7957,31.5528,0.4556,2.8992,30.2967
7.3941,31.2703,0.4599,2.9588,29.9170
5.7194,30.0417,0.4561,2.8679,30.9149
5.8310,32.0961,0.4847,3.1497,30.4384
7.2889,30.2403,0.4423,3.0279,30.0006
