preprocessing_time,inference_time,postprocessing_time,tracking_time,network_time
12.5108,68.1996,0.5181,4.3464,44.4251
7.3688,56.7005,0.4897,3.5918,25.8492
7.2997,53.7350,0.4940,3.3443,32.1270
7.2806,53.7212,0.4773,3.3114,28.2095
8.3606,44.6451,0.3741,2.6026,26.0176
5.3177,41.3780,0.3650,2.8334,27.1059
5.2354,43.0305,0.3712,2.8322,31.5307
6.4213,40.6795,0.3448,2.6324,24.9221
5.7273,39.1154,0.3431,2.6147,28.1995
5.9655,40.0598,0.3800,2.7838,27.8109
5.1873,39.0949,0.3355,2.7928,31.5895
5.1978,39.0530,0.3405,2.9585,29.4503
5.1668,40.5393,0.3412,2.8002,26.1526
5.2476,37.5435,0.3545,2.7287,32.1256
5.1353,36.5016,0.3278,2.7521,28.2832
5.0941,36.8302,0.3283,2.7709,28.9766
5.1408,37.4496,0.3295,2.8169,30.2632
5.1634,37.2312,0.3259,2.7869,28.4926
5.1136,36.6523,0.3250,2.7292,29.1799
5.1365,36.7930,0.3252,2.6970,30.0483
5.1961,36.9685,0.3240,2.7084,28.8030
5.0924,36.6528,0.3276,2.7142,29.2131
6.4912,37.9648,0.3326,2.7697,34.4417
5.1947,36.6175,0.3312,2.5969,28.2598
5.1363,36.0751,0.3288,2.6124,71.8475
7.0071,41.3532,0.3486,2.9135,32.3776
5.7282,37.0290,0.3390,2.5785,28.3252
5.1620,37.2241,0.3936,2.8718,30.3486
5.2168,36.2055,0.3290,2.6524,27.5962
5.1227,35.4946,0.3281,2.6395,30.4152
5.1439,35.5203,0.3259,2.6243,30.3856
5.2319,37.1292,0.3397,2.4748,26.8244
5.1308,35.6808,0.3307,2.3556,29.5022
5.1968,35.4643,0.3324,2.3499,28.6567
5.1553,35.3212,0.3524,2.3251,33.8460
5.1525,35.2449,0.3247,2.3232,26.9547
5.1432,34.3990,0.3264,2.1877,28.9437
5.0950,34.7414,0.3257,2.1613,30.6766
5.1308,34.3785,0.3262,2.1620,27.0026
5.1594,35.7530,0.3326,2.2447,31.5103
5.1472,34.9047,0.3350,2.2120,28.4010
5.1234,34.8580,0.3250,2.2132,28.4804
5.1420,35.4760,0.3359,2.3935,30.6526
5.1208,35.8560,0.3264,2.5523,32.1446
5.1241,36.0878,0.3259,2.7628,24.6994
5.1379,36.5210,0.3250,2.6503,31.3659
5.1413,36.6869,0.3314,2.7003,30.1401
5.1639,38.8653,0.3371,2.8296,29.8041
6.3336,37.1904,0.3359,2.7313,28.4087
5.7158,37.4870,0.3335,3.0296,34.4340
5.1830,37.0822,0.3264,3.6004,31.8081
5.1384,37.0114,0.3343,2.8083,27.7076
5.1227,36.6805,0.3281,2.7566,25.1122
5.1470,36.6576,0.3278,2.8656,29.0021
5.1417,36.5975,0.3374,2.9676,26.9558
5.1398,37.5488,0.3545,3.0184,32.9385
5.1427,38.3923,0.3374,2.7342,30.3935
5.0814,37.1878,0.3273,2.8019,29.6015
5.1117,37.1702,0.3276,2.7528,28.6378
5.1491,38.3625,0.3259,2.8124,31.3501
5.1453,38.0611,0.3288,2.9244,31.5403
5.1842,37.1714,0.3271,2.9058,25.4115
5.0578,37.1864,0.3257,2.7676,21.6626
5.1103,37.2076,0.3276,2.7690,27.5856
6.3927,40.5512,0.3402,2.7802,28.9357
5.2104,37.8690,0.3262,2.7344,29.8600
5.2464,37.5986,0.3324,2.7912,31.0315
5.1239,37.3623,0.3269,2.8119,26.3750
5.1250,37.1988,0.3266,2.8203,31.5293
5.2233,39.5310,0.3362,2.9535,31.9560
6.3689,37.6329,0.3393,2.7146,27.9443
5.6925,36.5930,0.3271,3.4115,27.9759
5.1827,37.1356,0.3340,2.9616,28.3860
5.1510,36.6342,0.3262,2.8813,32.0073
5.1394,37.0946,0.3266,2.8429,30.5965
5.1835,38.2745,0.3436,2.8856,30.3129
5.1548,37.6577,0.3271,3.0434,28.8169
5.1363,37.2200,0.3247,2.9550,28.3641
5.1727,37.7848,0.3252,2.9280,29.7892
5.1248,37.5109,0.3242,3.0370,32.0031
5.1177,37.6997,0.3328,2.9287,28.9211
5.1689,38.3816,0.3254,3.0017,30.1224
5.1525,37.7951,0.3250,3.0766,29.6510
5.2636,37.9226,0.3276,2.9836,29.5027
5.1553,37.7808,0.3271,3.1917,30.5451
5.1804,36.6421,0.3278,3.0601,32.7896
5.4512,37.5319,0.3285,3.0878,28.6006
5.1706,36.6855,0.3273,3.0813,29.7353
5.2145,37.6873,0.3359,3.2287,30.5336
6.3128,38.1517,0.3321,3.0475,27.1558
5.7127,36.4623,0.3340,3.0301,25.4609
5.1999,37.3445,0.3898,3.2206,30.8453
5.1873,36.6924,0.3295,3.0613,23.7296
5.1847,36.7196,0.3259,2.9488,30.8211
5.2047,36.6130,0.3259,2.9283,26.9282
5.1706,38.6527,0.3393,2.9652,29.8723
5.1775,36.8810,0.3285,2.9597,28.6533
5.1920,36.6883,0.3371,2.9273,28.8552
5.2106,36.6597,0.3271,2.9392,30.8633
5.3966,38.0125,0.3290,2.9979,29.2640
5.2290,37.3044,0.3266,3.1381,29.0019
5.2681,36.7172,0.3269,3.2468,30.4411
5.2271,37.5645,0.3257,3.2408,24.6419
5.2619,37.2555,0.3283,3.2246,30.9297
5.2490,36.1269,0.3278,2.7938,30.5025
5.2402,36.5262,0.3269,2.7843,30.1225
5.1918,36.4475,0.3345,2.7094,27.3168
5.2423,35.6357,0.3283,2.5373,31.2564
5.2576,36.0100,0.3276,2.7230,31.6818
5.2567,35.5022,0.3259,2.6877,32.2275
5.2259,37.4660,0.3376,2.8510,32.1194
6.4640,36.1471,0.3355,2.5444,26.5090
5.6961,35.3341,0.3381,2.6999,29.9319
5.2016,36.0658,0.3321,2.7072,31.6932
5.5335,36.0701,0.3510,2.8894,27.1561
5.1625,35.4443,0.3278,2.6398,29.4257
5.1684,35.4490,0.3364,2.5704,29.4757
5.1668,35.4843,0.3273,2.5642,30.4574
5.2097,35.5651,0.3257,2.5437,27.3558
5.2009,37.8270,0.3338,2.7468,29.8915
5.1546,34.9822,0.3276,2.3983,33.1373
5.1928,34.9355,0.3264,2.3675,28.1779
5.2130,34.9391,0.3269,2.4045,26.1166
5.2643,34.9472,0.3273,2.4047,30.0565
5.2061,36.6566,0.3276,2.5232,32.2865
5.2071,35.3858,0.3276,2.7866,25.2929
5.1930,35.4855,0.3285,2.8100,30.1830
5.2249,35.5351,0.3257,2.8100,29.1043
5.2748,36.0084,0.3314,2.7268,27.6587
5.2111,36.3371,0.3257,2.8973,33.2288
5.3010,36.4549,0.3278,2.7702,31.1461
5.2490,36.0901,0.3262,2.8863,30.4484
5.2469,35.4550,0.3233,2.7642,30.2106
5.3310,37.1413,0.3469,2.9745,29.2062
5.2726,37.0536,0.3288,2.9390,34.4060
5.2474,37.1516,0.3257,2.7330,28.5424
5.2025,37.2229,0.3304,2.8865,30.3576
5.1033,36.0451,0.3250,2.6958,28.8308
5.1012,37.1449,0.3326,2.7583,29.6630
6.2740,38.8005,0.3319,2.8727,30.7210
5.6136,36.0637,0.3364,2.6891,27.2972
5.1446,36.5660,0.3259,2.7721,30.1914
5.1715,36.7463,0.3395,3.0079,32.7348
5.2497,36.5372,0.4025,3.2644,25.5462
5.2962,36.3159,0.3250,2.9881,32.0748
5.2209,36.0224,0.3242,3.2070,30.2255
5.1477,36.0215,0.3281,3.1142,28.3885
5.1155,35.5256,0.3254,2.9733,29.0602
5.1646,35.5117,0.3319,2.8689,29.1229
5.2695,36.0634,0.3269,2.9056,28.4346
5.2247,38.1632,0.3359,3.0615,28.2146
5.2109,36.5353,0.3271,3.1936,30.7331
5.1990,37.3433,0.3569,3.1049,28.9959
5.3170,36.5896,0.3319,3.1438,31.6177
5.4150,35.1901,0.3271,3.0160,25.0518
5.1548,34.9970,0.3278,2.6991,26.8212
5.1804,35.8715,0.3302,2.8906,24.7273
5.1742,36.1657,0.3269,2.9531,32.3802
5.3647,36.0897,0.3276,3.1159,27.1022
5.2683,36.6468,0.3293,3.0549,31.7007
5.2595,36.1125,0.3276,3.0329,29.2674
5.2109,36.0987,0.3245,3.0949,30.2710
6.3903,38.0411,0.3481,3.0580,32.1625
5.3067,37.4582,0.3262,3.1176,30.7914
5.4502,36.7277,0.3259,3.1023,30.3939
5.4250,38.1410,0.3345,3.3383,33.7612
5.2285,37.4122,0.3269,3.1741,27.8584
5.3198,37.0381,0.3264,3.8538,26.4619
6.3684,38.7442,0.3288,3.0291,29.5295
5.7428,37.8010,0.3283,3.3677,25.7602
5.2104,39.7782,0.3922,3.7429,29.8762
5.2733,39.3116,0.3352,3.5510,29.5288
5.3499,38.9881,0.3264,3.4385,30.8971
5.2509,38.5563,0.3285,3.4940,28.3702
5.3747,40.7796,0.3457,3.5729,28.9271
5.1458,39.1107,0.3273,3.5067,37.9095
5.1231,37.8010,0.3269,3.3367,30.4123
5.2819,38.5728,0.3281,3.5508,31.2665
5.1684,37.9310,0.3288,3.5784,29.9934
5.2338,38.5032,0.3283,3.7563,29.1785
5.1320,38.2495,0.3278,3.7699,28.5208
5.1694,38.1718,0.3307,3.7179,28.6103
5.1918,37.3023,0.3276,3.6387,29.5396
5.1479,37.8733,0.3357,3.7162,27.9269
5.2156,37.3321,0.4833,3.6864,32.2826
5.2619,38.5041,0.3340,3.9160,30.9839
5.2145,37.9229,0.3276,3.8021,31.7330
5.0910,38.4536,0.3288,4.0298,27.0969
5.1346,40.5622,0.3340,4.2777,30.6915
6.2828,38.4583,0.3293,3.9465,29.9830
5.6422,37.7333,0.3264,3.8173,28.4808
5.7337,40.2167,0.3970,4.0550,28.5976
5.1439,37.4386,0.3338,3.6283,31.4554
5.1935,37.6904,0.3273,3.5832,25.2056
