frame_number,prep_ms,inference_ms,post_ms,tracking_ms,opflow_ms
1,41.1141,125.6838,20.6306,0.0778,0.0000
2,3.9738,110.1557,1.2270,0.0943,0.0000
3,3.8991,109.5358,1.4317,0.1019,0.0000
4,3.9270,109.8322,1.2746,0.0852,0.0000
5,3.8902,110.0301,1.4549,0.0911,0.0000
6,3.8658,109.9804,1.2730,0.0963,0.0000
7,3.8909,109.8323,1.4892,0.0933,0.0000
8,5.4816,110.0927,1.2843,0.0903,0.0000
9,3.9347,109.9954,1.4165,0.1005,0.0000
10,3.8979,110.1285,0.7325,0.1082,0.0000
11,3.8855,110.0773,0.7540,0.1158,0.0000
12,3.8847,109.9380,0.7973,0.1100,0.0000
13,3.9362,109.9472,0.8294,0.1130,0.0000
14,3.9804,110.5353,0.8086,0.1314,0.0000
15,4.2273,110.1919,0.7966,0.1240,0.0000
16,3.8752,110.7252,0.7511,0.1154,0.0000
17,3.8700,110.1506,0.8201,0.1162,0.0000
18,3.9036,109.9725,0.8251,0.1214,0.0000
19,3.8898,110.3472,0.5909,0.1189,0.0000
20,3.8920,110.3225,0.5568,0.1114,0.0000
21,4.3182,110.9671,0.5793,0.1173,0.0000
22,4.0458,110.1095,0.5581,0.1348,0.0000
23,3.8822,110.0275,0.5625,0.1182,0.0000
24,3.8787,110.2227,0.5590,0.1054,0.0000
25,3.8675,110.1231,0.5630,0.1150,0.0000
26,5.3158,110.3198,0.5579,0.1362,0.0000
27,3.9196,109.9647,0.5456,0.1140,0.0000
28,3.9091,110.3005,0.5530,0.1172,0.0000
29,3.8949,110.2412,0.5582,0.1181,0.0000
30,4.5267,110.3320,0.5688,0.1361,0.0000
31,4.1115,110.4065,0.5411,0.1172,0.0000
32,3.9098,109.6541,0.5015,0.1132,0.0000
33,3.8793,110.0168,0.5288,0.1100,0.0000
34,3.8779,109.6080,0.5637,0.1248,0.0000
35,4.9550,109.6158,0.5896,0.1124,0.0000
36,3.9644,110.3945,0.5210,0.1108,0.0000
37,3.8639,110.0978,0.5285,0.1069,0.0000
38,3.8796,110.1228,0.5385,0.1198,0.0000
39,3.9486,110.4639,0.5350,0.1123,0.0000
40,4.1689,110.2528,0.5337,0.1108,0.0000
41,3.8835,110.0625,0.5221,0.1157,0.0000
42,3.8912,109.9510,0.5206,0.1146,0.0000
43,3.8824,110.0684,0.5368,0.1160,0.0000
44,4.6364,110.2208,0.5669,0.1299,0.0000
45,3.8811,110.2712,0.5896,0.1266,0.0000
46,3.8200,110.4629,0.6421,0.1286,0.0000
47,4.0212,109.7983,0.6009,0.1289,0.0000
48,4.2512,109.4440,0.6591,0.1285,0.0000
49,3.8764,110.2027,0.5833,0.1334,0.0000
50,4.0213,110.1036,0.6128,0.1348,0.0000
51,4.1660,110.2850,0.5937,0.1402,0.0000
52,3.8827,110.2403,0.5830,0.1343,0.0000
53,3.9238,110.4359,0.6113,0.1554,0.0000
54,4.1145,110.0398,0.5994,0.1404,0.0000
55,3.9323,110.6696,0.6490,0.1368,0.0000
56,3.8688,110.9075,0.6082,0.1441,0.0000
57,3.9104,110.2181,0.5133,0.1468,0.0000
58,4.1552,110.9941,0.4980,0.1313,0.0000
59,3.8776,110.0230,0.5474,0.1335,0.0000
60,3.8466,110.7183,0.5124,0.1499,0.0000
61,3.8646,110.7474,0.5913,0.1668,0.0000
62,4.1588,110.4190,0.5160,0.1260,0.0000
63,3.9251,111.8099,0.5042,0.1329,0.0000
64,3.9894,110.3244,0.5262,0.1352,0.0000
65,4.1354,109.9266,0.4860,0.1288,0.0000
66,3.8696,110.1915,0.4837,0.1263,0.0000
67,3.9481,110.3132,0.5055,0.1276,0.0000
68,4.1357,109.9684,0.4841,0.1302,0.0000
69,3.8567,110.0094,0.5055,0.1336,0.0000
70,3.9154,110.5323,2.3369,0.3833,0.0000
71,3.8516,110.6826,0.5075,0.1234,0.0000
72,4.2150,110.7355,0.5245,0.1185,0.0000
73,3.9101,110.6853,0.4988,0.1200,0.0000
74,3.8787,110.7396,0.5009,0.1113,0.0000
75,3.9829,110.8803,0.5092,0.1239,0.0000
76,4.0235,111.5834,0.4808,0.1203,0.0000
77,3.8754,109.9406,0.4700,0.1367,0.0000
78,4.1249,110.6370,0.5406,0.1174,0.0000
79,4.0898,110.7724,0.5050,0.1200,0.0000
80,3.9159,110.9629,0.5144,0.1097,0.0000
81,3.9305,111.0642,0.5493,0.1198,0.0000
82,4.0136,110.9307,0.5073,0.1257,0.0000
83,3.8832,110.7691,0.5166,0.1221,0.0000
84,3.9122,111.1278,0.5168,0.1405,0.0000
85,3.8835,110.3463,0.5098,0.1349,0.0000
86,4.7729,110.5972,0.5593,0.1141,0.0000
