frame_number,prep_ms,inference_ms,post_ms,tracking_ms,opflow_ms
1,32.8390,68.1091,33.6951,0.1096,1.9941
2,0.0000,0.0000,0.0000,0.0310,4.3151
3,0.0000,0.0000,0.0000,0.0343,4.4109
4,3.9976,45.8474,5.4111,0.1534,0.7181
5,0.0000,0.0000,0.0000,0.0326,4.3407
6,0.0000,0.0000,0.0000,0.0331,4.4757
7,3.4061,46.0165,5.0146,0.1351,0.7995
8,0.0000,0.0000,0.0000,0.0341,5.6249
9,0.0000,0.0000,0.0000,0.0341,6.0140
10,3.4500,46.2971,5.1534,0.1230,0.7396
11,0.0000,0.0000,0.0000,0.0356,6.1293
12,0.0000,0.0000,0.0000,0.0349,5.9355
13,3.6328,46.9210,5.3279,0.1381,0.7271
14,0.0000,0.0000,0.0000,0.0322,6.3820
15,0.0000,0.0000,0.0000,0.0341,6.4709
16,3.6389,46.7509,4.4062,0.1425,0.7678
17,0.0000,0.0000,0.0000,0.0332,6.9865
18,0.0000,0.0000,0.0000,0.0346,5.9455
19,3.5926,46.9185,4.1851,0.1386,0.6959
20,0.0000,0.0000,0.0000,0.0328,6.6372
21,0.0000,0.0000,0.0000,0.0351,6.3757
22,4.0072,46.3883,5.4509,0.1249,0.8256
23,0.0000,0.0000,0.0000,0.0334,6.6302
24,0.0000,0.0000,0.0000,0.0347,6.5128
25,4.1902,46.8007,4.4089,0.1475,0.8233
26,0.0000,0.0000,0.0000,0.0343,6.2990
27,0.0000,0.0000,0.0000,0.0322,6.2484
28,4.5172,47.0977,4.1029,0.1354,0.8195
29,0.0000,0.0000,0.0000,0.0359,7.5632
30,0.0000,0.0000,0.0000,0.0353,6.2427
31,4.0331,46.6449,4.1801,0.1434,0.8181
32,0.0000,0.0000,0.0000,0.0346,6.2567
33,0.0000,0.0000,0.0000,0.0339,6.2806
34,4.2302,46.9012,4.0190,0.1692,0.8019
35,0.0000,0.0000,0.0000,0.0351,6.6937
36,0.0000,0.0000,0.0000,0.0335,6.4449
37,4.0658,46.5775,4.2188,0.1807,0.8354
38,0.0000,0.0000,0.0000,0.0372,9.0785
39,0.0000,0.0000,0.0000,0.0311,5.0033
40,3.8925,45.9985,3.9726,0.1319,0.8299
41,0.0000,0.0000,0.0000,0.0327,6.4629
42,0.0000,0.0000,0.0000,0.0361,4.6871
43,4.0270,46.5767,4.0360,0.1500,0.9078
44,0.0000,0.0000,0.0000,0.0328,6.5993
45,0.0000,0.0000,0.0000,0.0315,6.0365
46,4.2457,46.7079,3.9897,0.1624,0.6676
47,0.0000,0.0000,0.0000,0.0294,5.5028
48,0.0000,0.0000,0.0000,0.0301,3.9315
49,5.5613,46.8955,3.7128,0.1263,0.5888
50,0.0000,0.0000,0.0000,0.0498,5.3174
51,0.0000,0.0000,0.0000,0.0291,3.9681
52,4.2518,47.0180,4.1567,0.1451,0.6196
53,0.0000,0.0000,0.0000,0.0290,5.5749
54,0.0000,0.0000,0.0000,0.0295,4.1386
55,4.3297,46.9827,4.0402,0.1500,0.6488
56,0.0000,0.0000,0.0000,0.0286,5.5308
57,0.0000,0.0000,0.0000,0.0293,3.8070
58,4.3615,47.0761,4.1082,0.1486,0.4484
59,0.0000,0.0000,0.0000,0.0291,3.5492
60,0.0000,0.0000,0.0000,0.0287,3.7905
61,4.2903,47.5861,3.9909,0.1305,0.4545
