Preprocessing,Inference,Postprocessing,Tracking
45.2809,59.4891,58.5562,5.1080
0.0000,0.0000,0.0000,12.6223
0.0000,0.0000,0.0000,11.8156
4.1568,46.6652,5.8212,13.3714
0.0000,0.0000,0.0000,11.9530
0.0000,0.0000,0.0000,11.7348
4.1316,46.6969,5.4284,14.4058
0.0000,0.0000,0.0000,14.7758
0.0000,0.0000,0.0000,14.1167
4.1855,46.6066,5.7047,15.3513
0.0000,0.0000,0.0000,14.3859
0.0000,0.0000,0.0000,14.9827
4.1561,46.8344,5.8092,15.0997
0.0000,0.0000,0.0000,14.3551
0.0000,0.0000,0.0000,14.2129
4.7272,47.0383,4.3759,14.9905
0.0000,0.0000,0.0000,14.9110
0.0000,0.0000,0.0000,13.3330
4.2154,46.6687,4.4695,14.6119
0.0000,0.0000,0.0000,10.5160
0.0000,0.0000,0.0000,10.7161
4.3431,46.7852,4.0013,11.7770
0.0000,0.0000,0.0000,16.0268
0.0000,0.0000,0.0000,15.5946
4.1720,46.7547,4.4592,16.2769
0.0000,0.0000,0.0000,14.5856
0.0000,0.0000,0.0000,15.0158
4.9882,46.7215,4.4227,16.9252
0.0000,0.0000,0.0000,11.8338
0.0000,0.0000,0.0000,11.1781
4.1859,46.6424,4.4611,12.7774
0.0000,0.0000,0.0000,10.7124
0.0000,0.0000,0.0000,11.1168
4.2470,46.6072,3.9519,11.4983
0.0000,0.0000,0.0000,12.1550
0.0000,0.0000,0.0000,11.5093
4.1773,46.6827,4.5676,13.0495
0.0000,0.0000,0.0000,14.5526
0.0000,0.0000,0.0000,14.0982
4.6028,46.5903,4.0714,13.9100
0.0000,0.0000,0.0000,11.6024
0.0000,0.0000,0.0000,11.6620
4.1801,46.6753,4.1466,12.7671
0.0000,0.0000,0.0000,9.0955
0.0000,0.0000,0.0000,9.1783
4.4027,47.0326,4.0629,10.2707
0.0000,0.0000,0.0000,8.2673
0.0000,0.0000,0.0000,9.1952
4.2928,47.1597,4.1013,8.8485
0.0000,0.0000,0.0000,10.1335
0.0000,0.0000,0.0000,10.5352
5.2371,46.6189,4.1349,11.3741
0.0000,0.0000,0.0000,10.5560
0.0000,0.0000,0.0000,10.0082
4.1689,46.6419,4.1596,10.9159
0.0000,0.0000,0.0000,11.6717
0.0000,0.0000,0.0000,10.5740
4.2920,46.8548,3.8472,11.0753
0.0000,0.0000,0.0000,6.6032
0.0000,0.0000,0.0000,6.6759
4.2973,47.0170,4.1397,7.6554
0.0000,0.0000,0.0000,8.2335
0.0000,0.0000,0.0000,8.5948
4.2614,46.8088,3.8888,8.5323
0.0000,0.0000,0.0000,10.9567
0.0000,0.0000,0.0000,10.0750
4.2079,46.6611,4.1476,10.8605
0.0000,0.0000,0.0000,8.3365
0.0000,0.0000,0.0000,7.6965
5.0151,46.5495,4.1814,8.7893
0.0000,0.0000,0.0000,8.2653
0.0000,0.0000,0.0000,7.7196
4.3167,47.4694,4.1076,8.5861
0.0000,0.0000,0.0000,10.3742
0.0000,0.0000,0.0000,9.7640
