frame_number,prep_ms,inference_ms,post_ms,tracking_ms,opflow_ms
1,42.9998,57.9460,56.1090,0.0671,2.6184
2,0.0000,0.0000,0.0000,0.0238,4.7333
3,0.0000,0.0000,0.0000,0.0202,5.0194
4,3.5697,45.8439,4.3556,0.1049,0.8744
5,0.0000,0.0000,0.0000,0.0221,4.6853
6,0.0000,0.0000,0.0000,0.0225,4.8328
7,4.2621,46.6932,5.3570,0.1046,1.0304
8,0.0000,0.0000,0.0000,0.0208,5.8508
9,0.0000,0.0000,0.0000,0.0239,4.7883
10,4.2358,46.2289,5.7851,0.1724,0.9816
11,0.0000,0.0000,0.0000,0.0233,4.9506
12,0.0000,0.0000,0.0000,0.0207,5.0459
13,4.1818,46.0850,5.3215,0.1298,1.0051
14,0.0000,0.0000,0.0000,0.0225,5.1208
15,0.0000,0.0000,0.0000,0.0227,5.2898
16,3.4529,46.6200,5.1482,0.1376,1.1783
17,0.0000,0.0000,0.0000,0.0257,6.8931
18,0.0000,0.0000,0.0000,0.0236,6.9420
19,3.5752,46.9192,4.5994,0.1190,1.3372
20,0.0000,0.0000,0.0000,0.0242,7.2436
21,0.0000,0.0000,0.0000,0.0240,7.2846
22,3.7091,47.8621,4.9651,0.1010,1.6125
23,0.0000,0.0000,0.0000,0.0238,7.3877
24,0.0000,0.0000,0.0000,0.0250,7.1266
25,4.3815,46.9736,4.3955,0.1287,1.4377
26,0.0000,0.0000,0.0000,0.0215,5.7325
27,0.0000,0.0000,0.0000,0.0226,6.8298
28,4.2244,46.4084,4.2126,0.1170,1.8009
29,0.0000,0.0000,0.0000,0.0224,10.3149
30,0.0000,0.0000,0.0000,0.0224,5.0420
31,3.8822,46.5753,4.3434,0.1302,1.5044
32,0.0000,0.0000,0.0000,0.0193,4.0019
33,0.0000,0.0000,0.0000,0.0188,3.7573
34,4.3769,47.2675,4.3537,0.1344,1.5826
35,0.0000,0.0000,0.0000,0.0184,4.4438
36,0.0000,0.0000,0.0000,0.0211,3.7533
37,4.8147,47.3803,4.2073,0.1493,1.6924
38,0.0000,0.0000,0.0000,0.0192,4.4198
39,0.0000,0.0000,0.0000,0.0204,4.2415
40,4.3441,47.5814,4.4596,0.1516,3.3120
41,0.0000,0.0000,0.0000,0.0236,7.1396
42,0.0000,0.0000,0.0000,0.0222,7.0794
43,4.3617,47.1019,4.1243,0.1345,5.7151
44,0.0000,0.0000,0.0000,0.0223,7.6945
45,0.0000,0.0000,0.0000,0.0229,6.0707
46,5.1874,48.3353,3.8633,0.1278,4.2960
47,0.0000,0.0000,0.0000,0.0232,6.8586
48,0.0000,0.0000,0.0000,0.0238,6.3917
49,4.3330,47.0860,4.3198,0.1487,2.9207
50,0.0000,0.0000,0.0000,0.0190,6.0701
51,0.0000,0.0000,0.0000,0.0199,4.4639
52,4.3719,47.1345,4.2712,0.1561,3.6053
53,0.0000,0.0000,0.0000,0.0186,9.7358
54,0.0000,0.0000,0.0000,0.0165,5.3920
55,4.0710,48.2774,4.3794,0.1566,3.4220
56,0.0000,0.0000,0.0000,0.0182,5.1228
57,0.0000,0.0000,0.0000,0.0199,5.8227
58,4.1182,46.7961,3.9194,0.1373,3.5692
59,0.0000,0.0000,0.0000,0.0150,6.4119
60,0.0000,0.0000,0.0000,0.0165,2.4653
61,3.9760,47.8006,4.0179,0.1361,5.9250
62,0.0000,0.0000,0.0000,0.0165,7.6195
63,0.0000,0.0000,0.0000,0.0175,2.6602
64,4.1876,46.7266,4.0030,0.1469,3.5689
65,0.0000,0.0000,0.0000,0.0194,5.3739
66,0.0000,0.0000,0.0000,0.0162,4.1653
67,4.5382,47.2428,3.6403,0.1366,3.5356
68,0.0000,0.0000,0.0000,0.0169,5.5189
69,0.0000,0.0000,0.0000,0.0169,2.5350
70,4.3693,48.6527,4.1473,0.1426,3.9841
71,0.0000,0.0000,0.0000,0.0158,5.3412
72,0.0000,0.0000,0.0000,0.0165,2.7972
73,4.4209,47.8086,4.0725,0.1469,3.4805
74,0.0000,0.0000,0.0000,0.0158,5.8003
75,0.0000,0.0000,0.0000,0.0154,2.7748
76,4.3579,47.1956,4.0429,0.1329,3.9427
77,0.0000,0.0000,0.0000,0.0399,6.4128
78,0.0000,0.0000,0.0000,0.0188,3.9767
79,4.1241,47.6367,4.0651,0.1384,4.5669
80,0.0000,0.0000,0.0000,0.0194,9.8929
81,0.0000,0.0000,0.0000,0.0191,4.4744
82,4.3921,47.5019,4.0479,0.1470,4.6867
83,0.0000,0.0000,0.0000,0.0206,7.3711
84,0.0000,0.0000,0.0000,0.0197,4.1590
85,4.2393,46.8075,4.1223,0.1422,4.2780
86,0.0000,0.0000,0.0000,0.0219,5.3423
87,0.0000,0.0000,0.0000,0.0239,5.2129
88,4.2520,47.2218,4.2840,0.1493,4.0238
89,0.0000,0.0000,0.0000,0.0223,6.0341
90,0.0000,0.0000,0.0000,0.0230,5.3687
91,4.1571,46.2990,4.1504,0.1501,3.9366
92,0.0000,0.0000,0.0000,0.0214,5.4004
93,0.0000,0.0000,0.0000,0.0226,5.0031
94,4.2914,46.6791,4.1424,0.1309,3.9456
95,0.0000,0.0000,0.0000,0.0242,6.9954
96,0.0000,0.0000,0.0000,0.0221,6.6393
97,3.9714,47.1689,4.1373,0.1493,3.5292
98,0.0000,0.0000,0.0000,0.0187,5.3614
99,0.0000,0.0000,0.0000,0.0219,3.5059
100,4.2585,46.9549,4.0505,0.1379,4.0385
101,0.0000,0.0000,0.0000,0.0186,5.3121
102,0.0000,0.0000,0.0000,0.0198,3.5220
103,4.0720,46.3905,4.0532,0.1197,4.0272
104,0.0000,0.0000,0.0000,0.0227,5.1730
105,0.0000,0.0000,0.0000,0.0231,5.2666
106,4.4124,47.0723,4.0381,0.1170,3.8824
107,0.0000,0.0000,0.0000,0.0216,5.2415
108,0.0000,0.0000,0.0000,0.0179,5.5528
109,4.0233,47.0006,3.8128,0.1303,4.6874
110,0.0000,0.0000,0.0000,0.0229,8.2416
111,0.0000,0.0000,0.0000,0.0209,6.3380
112,4.2148,46.7456,4.1016,0.1394,3.8882
113,0.0000,0.0000,0.0000,0.0195,5.6115
114,0.0000,0.0000,0.0000,0.0201,3.9730
115,4.2197,46.3630,3.6495,0.1205,3.8110
116,0.0000,0.0000,0.0000,0.0227,5.6303
117,0.0000,0.0000,0.0000,0.0222,5.3982
118,4.2076,46.9598,4.0385,0.1112,4.1539
119,0.0000,0.0000,0.0000,0.0190,5.5316
120,0.0000,0.0000,0.0000,0.0193,4.0602
121,5.7071,47.2155,4.1597,0.1294,3.6722
122,0.0000,0.0000,0.0000,0.0227,5.2250
123,0.0000,0.0000,0.0000,0.0237,5.2710
124,4.4074,47.2408,4.1368,0.1217,4.0539
125,0.0000,0.0000,0.0000,0.0225,5.5298
126,0.0000,0.0000,0.0000,0.0226,5.1993
127,4.4784,47.1821,3.6691,0.1182,3.7524
128,0.0000,0.0000,0.0000,0.0219,5.1278
129,0.0000,0.0000,0.0000,0.0226,5.6604
130,4.4368,47.2623,4.1264,0.1365,5.4716
131,0.0000,0.0000,0.0000,0.0229,5.2628
132,0.0000,0.0000,0.0000,0.0230,6.1928
133,5.2405,47.7655,4.0870,0.1213,3.8946
134,0.0000,0.0000,0.0000,0.0195,5.1431
135,0.0000,0.0000,0.0000,0.0190,4.0700
136,4.3736,47.3715,4.0710,0.1402,4.1610
137,0.0000,0.0000,0.0000,0.0235,5.3017
138,0.0000,0.0000,0.0000,0.0212,5.8327
139,4.3818,47.2572,3.7181,0.1172,3.7234
140,0.0000,0.0000,0.0000,0.0220,5.2581
141,0.0000,0.0000,0.0000,0.0217,5.3119
142,4.3547,47.0972,4.0697,0.1375,3.9082
143,0.0000,0.0000,0.0000,0.0247,5.3566
144,0.0000,0.0000,0.0000,0.0229,5.3716
145,4.3663,46.8796,3.7172,0.1152,3.6196
146,0.0000,0.0000,0.0000,0.0179,5.3532
147,0.0000,0.0000,0.0000,0.0188,4.0938
148,4.2724,46.7513,4.1088,0.1324,4.0317
149,0.0000,0.0000,0.0000,0.0185,5.4244
150,0.0000,0.0000,0.0000,0.0165,4.1124
151,4.4610,47.9450,3.6854,0.1120,5.3257
152,0.0000,0.0000,0.0000,0.0223,5.2753
153,0.0000,0.0000,0.0000,0.0234,5.4259
154,4.3923,46.9710,4.1179,0.1129,4.0263
155,0.0000,0.0000,0.0000,0.0232,5.2620
156,0.0000,0.0000,0.0000,0.0223,5.4110
157,3.8572,47.0813,4.1329,0.1259,4.3230
158,0.0000,0.0000,0.0000,0.0223,5.5179
159,0.0000,0.0000,0.0000,0.0228,5.4040
160,4.3505,46.8914,4.1326,0.1324,4.1185
161,0.0000,0.0000,0.0000,0.0223,4.9452
162,0.0000,0.0000,0.0000,0.0188,5.5612
163,4.3450,47.1325,4.1457,0.1320,4.2096
164,0.0000,0.0000,0.0000,0.0214,5.0780
165,0.0000,0.0000,0.0000,0.0181,6.2372
166,4.3433,46.9178,4.0521,0.1320,4.1798
167,0.0000,0.0000,0.0000,0.0208,5.7410
168,0.0000,0.0000,0.0000,0.0186,5.3019
169,4.2622,46.3910,4.1621,0.1237,6.2860
170,0.0000,0.0000,0.0000,0.0216,5.2767
171,0.0000,0.0000,0.0000,0.0225,5.1003
172,4.3162,47.0897,4.0807,0.1100,4.1250
173,0.0000,0.0000,0.0000,0.0187,5.4908
174,0.0000,0.0000,0.0000,0.0161,4.0458
175,4.2777,46.6089,4.1050,0.1055,4.0413
176,0.0000,0.0000,0.0000,0.0161,6.5804
177,0.0000,0.0000,0.0000,0.0002,2.6163
178,4.3730,47.1687,4.1935,0.1260,3.9893
179,0.0000,0.0000,0.0000,0.0185,5.7115
180,0.0000,0.0000,0.0000,0.0200,4.4605
181,4.3931,47.3628,4.1156,0.1127,4.0961
182,0.0000,0.0000,0.0000,0.0142,6.0863
183,0.0000,0.0000,0.0000,0.0164,2.6840
184,4.5973,47.0627,3.9875,0.1261,3.4358
185,0.0000,0.0000,0.0000,0.0190,5.0803
186,0.0000,0.0000,0.0000,0.0191,4.0115
187,4.1743,47.1736,4.0651,0.1147,4.0240
188,0.0000,0.0000,0.0000,0.0224,6.5129
189,0.0000,0.0000,0.0000,0.0231,5.1467
190,4.3800,47.2083,4.1402,0.1266,4.0562
191,0.0000,0.0000,0.0000,0.0208,6.4089
