preprocessing_time,inference_time,postprocessing_time,tracking_time,network_time
16.7692,560.2098,1.0064,4.4439,967.5707
13.9430,45.9056,0.4528,3.9439,32.7547
8.3067,39.0561,0.4232,2.8210,20.3930
7.3123,35.4409,0.4060,2.8541,28.9867
7.3292,34.6816,0.4220,2.8145,20.7527
7.3404,33.7791,0.4115,2.8007,20.6683
7.2906,35.4118,0.4053,2.8689,23.0234
7.4050,32.4750,0.4261,2.7454,15.9485
7.2825,33.7145,0.4063,2.8849,21.7118
7.3164,34.8926,0.4134,2.9166,30.4610
7.3609,35.2890,0.4349,2.8589,38.0563
7.4410,38.6841,0.4387,3.0026,41.4336
7.5910,42.5282,0.3753,2.4922,41.0133
5.6968,36.9861,0.3979,2.4371,47.4821
5.7502,37.5731,0.3769,2.3248,47.9750
5.7275,36.7157,0.3772,2.4617,47.7179
5.7931,34.4114,0.3912,2.4266,50.9777
5.7192,35.4767,0.4022,2.5361,64.8658
5.6791,36.0544,0.4079,2.9900,63.8686
5.7518,34.5728,0.3912,2.7895,68.4947
5.7235,36.3078,0.3889,2.7018,48.8780
5.7135,35.4509,0.3891,2.6391,49.8074
5.6868,34.9810,0.4313,2.4266,62.4743
5.7302,33.6180,0.4382,2.3930,63.8206
5.7201,34.4543,0.3898,2.4245,40.0113
5.7375,35.2104,0.4299,2.3735,41.2487
5.7600,35.9952,0.3915,2.3942,45.4591
10.7410,36.8454,0.3951,2.6078,45.4107
6.7828,36.9709,0.3996,2.7387,45.1080
5.7130,36.1927,0.4048,2.8870,49.8025
5.7147,72.5911,0.5548,3.9077,47.2317
8.5835,44.6093,0.3626,2.5771,49.8675
5.7240,37.6937,0.4103,2.8040,39.3680
5.7209,37.6258,0.3769,2.6155,51.6609
5.7025,35.3525,0.3884,2.4428,54.1138
5.7094,35.4085,0.3889,2.7452,48.7480
5.6539,35.3453,0.3908,2.6872,54.9228
5.7075,37.1881,0.3874,3.0804,50.6366
5.7542,35.6684,0.3910,2.8162,42.3702
6.2931,36.9225,0.4141,2.7709,74.5994
5.5954,34.6441,0.3898,2.6503,62.7204
5.7912,34.0011,0.3910,2.6782,48.1385
5.6415,34.5466,0.3915,2.7051,50.7153
5.7366,34.6353,0.3917,2.6281,43.6083
5.6884,34.4608,0.3903,2.7122,29.7483
5.5833,32.7342,0.4194,2.3997,28.8634
5.6782,33.9963,0.3877,2.6593,37.2785
5.6226,34.1356,0.4222,2.6190,41.2006
7.0403,34.4949,0.3889,2.2960,49.7799
6.2094,33.0484,0.3905,2.3162,39.0355
5.6944,36.0954,0.4482,2.8689,45.8931
5.6684,35.7823,0.4315,3.0575,48.0603
5.6841,33.8042,0.3927,2.6960,44.4230
5.6982,34.0896,0.3898,2.5227,45.2997
5.6951,34.8372,0.3898,2.6922,42.3857
5.7027,35.4331,0.3910,3.0441,68.4291
5.6727,35.5670,0.4051,2.9221,59.4331
5.6674,34.3153,0.3898,2.8903,70.7372
5.7259,33.0496,0.3920,2.8718,64.9607
5.6379,32.5315,0.3915,2.8884,67.5507
5.6429,34.8320,0.3910,2.7497,58.3844
6.5892,34.4803,0.4213,2.7514,67.7578
5.6400,33.6885,0.3903,2.6801,32.6011
5.7356,32.5437,0.3896,2.4967,38.8344
5.6908,32.4101,0.3905,2.3339,64.1747
5.7554,32.5465,0.3972,2.3160,59.9849
5.6436,33.1917,0.3901,2.3522,65.4224
5.6765,32.5158,0.3905,2.3651,68.0521
5.7371,31.6212,0.4494,2.5759,55.6164
7.1576,32.8624,0.3901,2.4011,26.1888
6.2578,32.0668,0.3891,2.3966,22.8897
5.5273,28.7726,0.3664,2.3074,26.0263
5.7647,31.9307,0.4487,2.5766,40.2793
5.7197,31.0650,0.3920,2.3649,35.4584
5.5983,29.5730,0.3746,2.3437,23.1104
5.6736,30.5932,0.3753,2.5170,32.8409
5.6813,33.0877,0.4046,2.8584,34.9680
5.8095,32.8903,0.3891,2.6510,45.2601
5.7924,34.1527,0.3984,2.7113,50.9452
5.7817,32.7997,0.3905,2.7232,30.3049
5.7440,32.5966,0.3877,2.6696,36.6021
5.6989,32.5830,0.3893,3.0806,35.2482
5.6427,31.3268,0.3788,3.2029,24.4488
