preprocessing_time,inference_time,postprocessing_time,tracking_time,network_time
21.6784,1685.2733,35.3967,6.0701,1298.5815
13.0458,53.7383,21.1571,7.8535,52.2053
9.2639,43.2014,18.3537,6.1338,32.0472
9.3518,43.7802,20.4768,6.4561,29.9351
9.1665,42.2731,19.9446,6.7794,34.8364
9.2386,43.5157,19.1551,6.2885,36.8021
9.1825,43.0673,20.4455,6.2394,36.0653
9.3785,45.2169,17.7634,4.8587,40.7825
6.7964,36.7894,15.1779,5.1036,40.1327
8.2942,36.6633,15.8347,4.8213,43.3865
7.5556,37.1471,16.2629,4.8618,43.1726
7.0260,37.3200,16.2944,5.0404,40.3192
7.0423,38.8750,14.5721,4.9987,49.5119
7.2028,38.5439,16.1068,5.0521,44.0944
7.2294,38.3996,16.2836,5.1074,51.9800
7.2682,39.8008,17.1693,5.1744,50.5873
15.0527,43.9627,17.6756,5.1827,50.1263
7.4797,41.6096,15.8709,5.3320,70.7078
7.4975,41.4201,15.4522,5.1782,67.4520
7.5472,41.6011,16.8544,5.0707,56.9266
7.5166,41.4973,15.8417,5.0244,71.1200
7.5039,41.2821,15.9922,5.2867,51.9351
7.4732,41.5562,14.4854,5.2528,75.2324
7.4581,43.1361,15.4033,5.2943,75.7082
8.8776,42.8006,16.5339,5.4286,52.3593
8.1338,42.1259,16.0398,5.9147,52.7858
7.5557,41.3563,16.9801,5.6071,56.5008
7.6017,41.3743,17.5581,5.6124,59.8535
7.4535,41.3587,15.8907,6.9251,76.3720
7.7024,43.1436,14.6278,5.6894,71.8368
7.4343,41.4144,13.9927,5.5110,64.6476
7.4637,41.7831,14.9962,5.5974,77.1596
7.5119,41.6708,15.0003,5.5716,64.2454
7.5286,41.5197,13.5689,5.5053,60.8775
7.4537,41.5622,15.1877,5.5373,72.2591
7.5796,41.4502,15.5610,5.7747,55.6345
9.2360,43.0296,13.9293,6.1686,59.6365
7.4333,41.4038,14.6103,6.1498,54.4028
7.6670,41.5641,16.2030,6.1448,56.4211
7.4808,41.4245,17.5797,6.4740,55.0410
8.8304,43.1259,17.9026,6.3868,52.7543
7.8407,40.4396,16.9353,6.5143,51.2701
7.4497,42.0309,16.9789,6.5713,57.9692
7.4814,43.3311,16.1574,6.6187,50.4114
7.4547,42.2683,16.9627,6.6965,66.6178
7.4638,41.6895,15.4682,6.2385,74.1400
7.5226,41.4583,15.6114,6.1779,60.2298
7.4856,41.5590,16.3992,6.1610,64.3952
7.4200,41.4111,16.3754,6.4933,66.3002
7.4891,41.6789,15.5700,5.9235,74.3385
