frame_number,prep_ms,inference_ms,post_ms,tracking_ms,opflow_ms
1,47.4855,125.7435,56.3909,0.0873,3.2646
2,0.0000,0.0000,0.0000,0.0235,5.5576
3,0.0000,0.0000,0.0000,0.0205,4.7156
4,0.0000,0.0000,0.0000,0.0200,4.5473
5,0.0000,0.0000,0.0000,0.0218,4.3694
6,0.0000,0.0000,0.0000,0.0214,4.6584
7,3.7534,108.9784,5.7917,0.1462,0.8386
8,0.0000,0.0000,0.0000,0.0226,4.8488
9,0.0000,0.0000,0.0000,0.0211,5.6473
10,0.0000,0.0000,0.0000,0.0206,5.8482
11,0.0000,0.0000,0.0000,0.0201,5.9128
12,0.0000,0.0000,0.0000,0.0211,5.6806
13,3.8411,110.0991,5.5918,0.1691,0.8855
14,0.0000,0.0000,0.0000,0.0220,5.5874
15,0.0000,0.0000,0.0000,0.0219,6.8387
16,0.0000,0.0000,0.0000,0.0226,6.1353
17,0.0000,0.0000,0.0000,0.0230,4.8250
18,0.0000,0.0000,0.0000,0.0221,5.6040
19,4.6590,111.2484,5.3730,0.1651,1.6890
20,0.0000,0.0000,0.0000,0.0232,8.9141
21,0.0000,0.0000,0.0000,0.0227,7.3674
22,0.0000,0.0000,0.0000,0.0251,8.7566
23,0.0000,0.0000,0.0000,0.0232,7.2564
24,0.0000,0.0000,0.0000,0.0240,6.5704
25,4.4841,110.1805,4.8803,0.1464,1.7290
26,0.0000,0.0000,0.0000,0.0220,7.0259
27,0.0000,0.0000,0.0000,0.0221,6.0669
28,0.0000,0.0000,0.0000,0.0232,5.6980
29,0.0000,0.0000,0.0000,0.0249,6.3939
30,0.0000,0.0000,0.0000,0.0238,6.3506
31,4.7163,111.3486,5.1799,0.1476,2.0251
32,0.0000,0.0000,0.0000,0.0245,7.1675
33,0.0000,0.0000,0.0000,0.0245,7.0929
34,0.0000,0.0000,0.0000,0.0244,6.9247
35,0.0000,0.0000,0.0000,0.0246,6.7517
36,0.0000,0.0000,0.0000,0.0243,6.5806
37,4.9181,111.9257,4.6412,0.1782,2.3598
38,0.0000,0.0000,0.0000,0.0189,5.1443
39,0.0000,0.0000,0.0000,0.0197,4.1078
40,0.0000,0.0000,0.0000,0.0189,4.1539
41,0.0000,0.0000,0.0000,0.0203,4.0778
42,0.0000,0.0000,0.0000,0.0199,4.3217
43,4.7066,112.8545,4.2539,0.1690,2.4529
44,0.0000,0.0000,0.0000,0.0155,4.5056
45,0.0000,0.0000,0.0000,0.0161,3.1965
46,0.0000,0.0000,0.0000,0.0173,2.8767
47,0.0000,0.0000,0.0000,0.0164,2.9604
48,0.0000,0.0000,0.0000,0.0002,2.7541
49,4.5335,113.0392,4.4070,0.1700,3.5624
50,0.0000,0.0000,0.0000,0.0182,7.3268
51,0.0000,0.0000,0.0000,0.0193,4.5294
52,0.0000,0.0000,0.0000,0.0199,5.5524
53,0.0000,0.0000,0.0000,0.0188,4.6637
54,0.0000,0.0000,0.0000,0.0199,4.4161
55,4.4235,111.6453,4.0883,0.1635,9.1473
56,0.0000,0.0000,0.0000,0.0191,10.2439
57,0.0000,0.0000,0.0000,0.0188,4.7477
58,0.0000,0.0000,0.0000,0.0193,4.9932
59,0.0000,0.0000,0.0000,0.0188,4.5903
60,0.0000,0.0000,0.0000,0.0166,5.6024
61,4.9095,111.5694,4.3036,0.1580,5.6140
62,0.0000,0.0000,0.0000,0.0154,8.6324
63,0.0000,0.0000,0.0000,0.0164,2.6325
64,0.0000,0.0000,0.0000,0.0159,2.6959
65,0.0000,0.0000,0.0000,0.0170,2.6432
66,0.0000,0.0000,0.0000,0.0179,3.1375
67,5.0700,113.2277,4.2889,0.1822,7.5675
68,0.0000,0.0000,0.0000,0.0164,7.9610
69,0.0000,0.0000,0.0000,0.0169,2.9806
70,0.0000,0.0000,0.0000,0.0172,3.1040
71,0.0000,0.0000,0.0000,0.0157,2.6481
72,0.0000,0.0000,0.0000,0.0181,3.1908
73,5.3242,114.6169,4.6960,0.1551,6.3716
74,0.0000,0.0000,0.0000,0.0162,6.9976
75,0.0000,0.0000,0.0000,0.0176,2.6674
76,0.0000,0.0000,0.0000,0.0175,2.8866
77,0.0000,0.0000,0.0000,0.0157,3.0699
78,0.0000,0.0000,0.0000,0.0186,2.8263
79,4.7537,113.0890,4.0547,0.1627,5.6537
80,0.0000,0.0000,0.0000,0.0182,5.1823
81,0.0000,0.0000,0.0000,0.0189,4.3822
82,0.0000,0.0000,0.0000,0.0184,4.0563
83,0.0000,0.0000,0.0000,0.0201,4.1143
84,0.0000,0.0000,0.0000,0.0192,4.3040
85,5.1459,111.7604,4.4854,0.1673,3.8610
86,0.0000,0.0000,0.0000,0.0199,5.6219
87,0.0000,0.0000,0.0000,0.0186,3.9311
88,0.0000,0.0000,0.0000,0.0195,4.3553
89,0.0000,0.0000,0.0000,0.0198,3.9547
90,0.0000,0.0000,0.0000,0.0203,3.9930
91,4.9121,111.5480,4.2780,0.1991,3.8719
92,0.0000,0.0000,0.0000,0.0180,7.6079
93,0.0000,0.0000,0.0000,0.0194,4.1698
94,0.0000,0.0000,0.0000,0.0194,3.9684
95,0.0000,0.0000,0.0000,0.0197,4.2815
96,0.0000,0.0000,0.0000,0.0201,4.1543
97,5.2607,113.8574,4.4096,0.2129,5.6101
98,0.0000,0.0000,0.0000,0.0209,6.7932
99,0.0000,0.0000,0.0000,0.0194,6.2140
100,0.0000,0.0000,0.0000,0.0197,4.0059
101,0.0000,0.0000,0.0000,0.0192,3.7885
